sample	type	UAR	Z
N385	N	8.358765642	0.158002346
N386	N	8.355572083	0.739336998
N387	N	8.351110994	-0.094932801
N388	N	8.301437653	-1.266383483
N389	N	8.340172528	-0.202607636
N390	N	8.320980511	-0.862000198
N391	N	8.30804422	-0.135713614
N392	N	8.303253014	-0.300906115
N393	N	8.364684516	0.790958099
N394	N	8.365391248	0.255109136
N395	N	8.374840261	0.664313771
N396	N	8.281457504	-0.383340878
N397	N	8.355490649	0.151582629
N398	N	8.3318997	-0.052001705
N399	N	8.277396519	-0.88895037
N400	N	8.376283389	1.28785858
N401	N	8.348817212	0.228346129
N402	N	8.3760839	0.716795463
N403	N	8.374866456	1.586714316
N404	N	8.367320625	0.872624936
N405	N	8.356763083	0.906944962
N406	N	8.389148369	1.480318596
N407	N	8.350956729	0.581685671
N408	N	8.329672106	0.294508279
N409	N	8.42976524	1.48450715
N410	N	8.332539703	0.970831614
N411	N	8.357007163	1.01279711
N412	N	8.353858635	0.0
N413	N	8.331212464	0.0
N414	N	8.361295643	0.355250803
N415	N	8.383604619	1.017421226
N416	N	8.356901098	0.458186848
N417	N	8.3806734	0.569584931
N418	N	8.359764272	0.409979143
N419	N	8.353423267	0.009572739
N420	N	8.358109602	0.280480809
N421	N	8.373336431	0.604588402
N422	N	8.378116449	0.721071969
N423	N	8.350443862	0.513432539
N424	N	8.371832857	0.959590055
N425	N	8.385354037	0.709650835
N426	N	8.393649483	0.949706708
N427	N	8.363614921	0.962376368
N428	N	8.377643377	1.126158402
N429	N	8.399710009	1.538220483
N430	N	8.402628639	1.604289403
N431	N	8.377537341	1.146939655
N432	N	8.395956237	0.839037381
N433	N	8.341554579	0.367908201
N434	N	8.367771458	1.05265229
N435	N	8.347129071	0.67519222
N436	N	8.3713113	0.78348541
N437	N	8.350967779	0.617194842
N438	N	8.351850597	0.208724041
N439	N	8.351271459	0.320722669
N440	N	8.354348515	1.001529735
N441	N	8.356369548	0.612029585
N442	N	8.349887728	0.002378949
N443	N	8.372751169	0.293992522
N444	N	8.35844619	1.358577773
N445	N	8.381922898	0.901785513
N446	N	8.379148128	0.287301492
N447	N	8.371664209	0.655061136
N448	N	8.403284049	1.172045621
N449	N	8.365813753	0.034302348
N450	N	8.342273753	-0.143144288
N451	N	8.364152402	1.074172603
N452	N	8.360809409	0.741991678
N453	N	8.352717641	0.371798478
N454	N	8.340715784	0.0
N455	N	8.350515955	0.496206576
N456	N	8.384996562	1.508088496
N457	N	8.399261617	1.171127836
N458	N	8.350463162	0.425600537
N459	N	8.37139017	0.489598797
N460	N	8.377555538	1.500607536
N461	N	8.372937622	1.105432742
N462	N	8.381123911	1.331528509
N463	N	8.351717087	0.565449727
N464	N	8.337037964	0.591749934
N465	N	8.340277231	0.660720753
N466	N	8.378377392	0.976928238
N467	N	8.360674923	0.184917002
N468	N	8.338534606	0.296711718
N469	N	8.364579569	1.302709021
N470	N	8.365534932	0.605829716
N471	N	8.357806701	0.0
N472	N	8.367829986	1.009895994
N473	N	8.387828804	0.68584362
N474	N	8.355792119	0.819903845
N475	N	8.371980001	1.046020432
N476	N	8.349510916	0.140465251
N477	N	8.351924895	0.63927762
N478	N	8.377110864	1.283939419
N479	N	8.3472438	-0.128543597
N480	N	8.338957963	0.411804425
N481	N	8.383633699	1.558439639
N482	N	8.334804583	-0.062535909
N483	N	8.435594022	1.481977229
N484	N	8.361918096	0.615933336
N485	N	8.393426641	1.134783146
N486	N	8.348584202	0.830954965
N487	N	8.362236837	1.221586363
N488	N	8.336380952	0.621559463
N489	N	8.372932529	0.755986228
N490	N	8.346265059	0.497778327
N491	N	8.365947322	0.949348233
N492	N	8.375793623	1.330836845
N493	N	8.338953892	1.159022582
N494	N	8.33936496	0.350570421
N495	N	8.373455443	1.186713418
N496	N	8.361911583	0.0
N497	N	8.348788797	0.378201911
N498	N	8.348466849	-0.30130211
N499	N	8.345061634	0.053299209
N500	N	8.394616148	1.209422927
N501	N	8.366666116	1.021485651
N502	N	8.356978674	0.406580326
N503	N	8.378931171	0.95076446
N504	N	8.378638821	0.668613335
N505	N	8.371894437	1.06469442
N506	N	8.338513463	0.317606591
N507	N	8.367465783	0.688991095
N508	N	8.371969952	0.260599493
N509	N	8.371148593	0.563956372
N510	N	8.345988167	0.621132007
N511	N	8.365700821	0.0
N512	N	8.399040842	1.335232705
N513	N	8.409936296	0.74306681
N514	N	8.334067035	0.0
N515	N	8.340648074	0.367404211
N516	N	8.355678419	0.334105463
N517	N	8.320900459	0.0
N518	N	8.352433839	0.321109462
N519	N	8.324066732	0.09166926
N520	N	8.350420159	1.059730571
N521	N	8.354252857	0.456362429
N522	N	8.348658904	0.458232821
N523	N	8.345824408	0.83068902
N524	N	8.349857272	-0.000380817
N525	N	8.38693199	0.938764424
N526	N	8.370426946	0.537313671
N527	N	8.34179147	0.318594359
N528	N	8.371110727	1.05610527
N529	N	8.348932603	0.0
N530	N	8.364751981	0.642617116
N531	N	8.346148322	0.022834739
N532	N	8.378558911	0.338409032
N533	N	8.370230684	0.718919569
N534	N	8.349145569	0.501812332
N535	N	8.368344714	1.164882977
N536	N	8.341735992	-0.321157545
N537	N	8.348170966	0.537224875
N538	N	8.33953314	0.259442799
N539	N	8.319393253	0.0
N540	N	8.34997624	-0.005533111
N541	N	8.35436279	0.0
N542	N	8.369361923	0.969719549
N543	N	8.328963077	-0.642032972
N544	N	8.380807372	0.625693107
N545	N	8.358036001	1.082390988
N546	N	8.388633767	1.557479879
N547	N	8.383503979	1.477044709
N548	N	8.344608227	0.741544728
N549	N	8.398949094	0.690717735
N550	N	8.336672709	-0.562376101
N551	N	8.344602391	0.700807723
N552	N	8.321260211	-0.129760913
N553	N	8.398216016	0.585497164
N554	N	8.365397465	0.362783515
N555	N	8.34932799	0.284989013
N556	N	8.356173974	0.746934891
N557	N	8.363084236	0.529217209
N558	N	8.34235887	0.243718913
N559	N	8.367259408	0.685454619
N560	N	8.355177218	0.992168789
N561	N	8.370747004	1.236469277
N562	N	8.395988388	1.637859471
N563	N	8.341480301	-0.151016419
N564	N	8.375672304	1.095083849
N565	N	8.302651791	-1.025501199
N566	N	8.330200683	-0.137998648
N567	N	8.360491634	0.156909202
N568	N	8.362170008	0.677327249
N569	N	8.353526049	0.856375754
N570	N	8.394756818	1.862868953
N571	N	8.367034182	0.319054152
N572	N	8.342069222	0.231064528
N573	N	8.383179272	1.326460667
N574	N	8.378109176	1.298698327
N575	N	8.355518531	0.433659768
N576	N	8.373699505	0.606229749
N577	N	8.38954529	0.153339259
N578	N	8.352644948	0.334778045
N579	N	8.347744732	1.119260801
N580	N	8.377530231	1.203982973
N581	N	8.341444567	0.363109041
N582	N	8.411852104	1.669128946
N583	N	8.375257968	0.596403219
N584	N	8.324124443	0.504963963
N585	N	8.367203731	0.604645675
N586	N	8.332353751	0.496300165
N587	N	8.339628823	-0.120284985
N588	N	8.305213869	0.540969501
N589	N	8.354241374	1.013761335
N590	N	8.401586513	1.025133732
N591	N	8.370418471	0.505853814
N592	N	8.374979321	1.364388021
N593	N	8.34813208	0.782858068
N594	N	8.348084124	0.351325451
N595	N	8.32628871	-0.108770086
N596	N	8.341390061	0.0
N597	N	8.33036144	0.267617488
N598	N	8.383977261	1.169361511
N599	N	8.367827714	0.513866838
N600	N	8.364778616	0.404365093
N601	N	8.383599717	1.432941265
N602	N	8.335558303	0.0
N603	N	8.351123453	0.901617098
N604	N	8.354289774	0.64608886
N605	N	8.394404341	1.336912713
N606	N	8.359448347	0.536938335
N607	N	8.367531156	1.039776345
N608	N	8.345656859	0.549229846
N609	N	8.399950826	1.498229837
N610	N	8.351847074	1.227679759
N611	N	8.35036293	0.345891992
N612	N	8.347180968	0.601638236
N613	N	8.348097757	0.921397291
N614	N	8.329345586	0.768744427
N615	N	8.379988303	1.17956244
N616	N	8.370805753	0.738089731
N617	N	8.358003026	1.08060057
N618	N	8.348176687	0.473638845
N619	N	8.36139411	1.110468264
N620	N	8.35504006	0.105314749
N621	N	8.341935784	-0.200736509
N622	N	8.332603607	-0.285267215
N623	N	8.349044951	0.339985564
N624	N	8.354241573	0.054645122
N625	N	8.332245849	-0.029072428
N626	N	8.329205529	0.377646215
N627	N	8.365163302	0.88381115
N628	N	8.337462608	0.503886622
N629	N	8.380127336	1.251691635
N630	N	8.402843703	1.600659096
N631	N	8.397779027	1.34230137
N632	N	8.351669666	0.314747381
N633	N	8.330152841	0.133795057
N634	N	8.367490741	0.394964398
N635	N	8.376486403	0.229949788
N636	N	8.362804552	0.506632479
N637	N	8.366390083	0.467695711
N638	N	8.359789393	0.801795598
N639	N	8.356259048	0.609581406
N640	N	8.348828947	0.0
N641	N	8.364652316	0.851354871
N642	N	8.322672788	-0.15673717
N643	N	8.307523341	-0.71568334
N644	N	8.34584271	0.0
N645	N	8.338968419	0.903258317
N646	N	8.347880015	1.115927787
N647	N	8.34770114	0.39738005
N648	N	8.360842564	0.455908697
N649	N	8.353983285	0.407239919
N650	N	8.375892929	0.591164805
N651	N	8.360755217	0.516997501
N652	N	8.357882544	0.0
N653	N	8.364912953	0.886860684
N654	N	8.340684345	0.266206433
N655	N	8.36086522	0.96658853
N656	N	8.354274457	0.351243835
N657	N	8.32832597	0.044024951
N658	N	8.350973446	0.490678463
N659	N	8.385607385	2.173804319
N660	N	8.356360466	0.565219638
N661	N	8.348346949	0.0
N662	N	8.36960725	0.352701401
N663	N	8.363251578	0.658969956
N664	N	8.334111606	-0.169203781
N665	N	8.332406625	0.03530805
N666	N	8.345220264	0.331061744
N667	N	8.35183897	0.990361676
N668	N	8.361019492	1.065718096
N669	N	8.352890806	0.429264072
N670	N	8.333919013	-0.050798142
N671	N	8.375467924	1.06813367
N672	N	8.329340041	0.02373958
N673	N	8.315912082	-0.39422568
N674	N	8.351330051	0.774450551
N675	N	8.325514697	0.254366058
N676	N	8.3687398	0.274350775
N677	N	8.328491524	-0.379033364
N678	N	8.332979269	0.484549509
N679	N	8.394409277	1.299813167
N680	N	8.375020192	1.325944969
N681	N	8.350960611	0.473757862
N682	N	8.285534336	-0.896257135
N683	N	8.356153365	1.143415925
N684	N	8.36584318	0.592887421
N685	N	8.348014421	0.288267235
N686	N	8.36028751	0.01947056
N687	N	8.340605693	0.47530368
N688	N	8.354049519	0.654939153
N689	N	8.390340414	1.499723824
N690	N	8.319211006	-0.06640118
N691	N	8.382123123	2.014632459
N692	N	8.304887713	-1.014765102
N693	N	8.33710646	0.206912205
N694	N	8.34783946	0.0
N695	N	8.333604232	0.533565759
N696	N	8.358857866	1.002463194
N697	N	8.324971718	0.138981796
N698	N	8.330458355	-0.50458191
N699	N	8.371982536	1.48942275
N700	N	8.362960104	1.065189236
N701	N	8.343158472	0.526246823
N702	N	8.354610562	0.035101041
N703	N	8.340175046	0.158634079
N704	N	8.353167673	0.310847181
N705	N	8.372231786	0.291990892
N706	N	8.319613525	0.436623006
N707	N	8.326649211	0.115290977
N708	N	8.345404374	0.945507939
N709	N	8.334238052	0.722508273
N710	N	8.373120078	0.504589763
N711	N	8.409928089	1.452417983
N712	N	8.333236026	0.144849535
N713	N	8.344067658	0.394027708
N714	N	8.39124777	0.923293363
N715	N	8.333836969	-0.521424129
