Sample	type	UAR	Z
N2920	XX	5.416920891	-0.380213157
N2921	XX	5.239535572	-1.239098558
N2922	XX	5.376569583	-0.569416122
N2923	XX	5.198388991	-1.673414014
N2924	XX	5.431506498	0.740919278
N2925	XX	5.128038027	-3.374478807
N2926	XX	5.390161905	0.067969148
N2927	XX	5.295719045	-2.162979973
N2928	XX	5.481004848	0.416915243
N2929	XX	5.3077876	-1.998984777
N2930	XX	5.171501255	-3.03139269
N2931	XX	5.221015941	-3.439605723
N2932	XX	5.348058679	-0.938952505
N2933	XX	5.452726838	0.103861451
N2934	XX	5.32719947	-1.052146978
N2935	XX	5.372115533	-0.564060399
N2936	XX	5.263477202	-3.871123005
N2937	XX	5.152253991	-2.5184606
N2938	XX	5.360779144	-0.922554433
N2939	XX	5.306290436	-1.472728375
N2940	XX	5.315852872	-0.747880065
N2941	XX	5.431659776	-0.511107932
N2942	XX	5.060856604	-3.307541511
N2943	XX	5.282031522	-1.751447431
N2944	XX	5.248069924	-1.484695757
N2945	XX	5.167305179	-4.327904265
N2946	XX	5.405313404	0.327213411
N2947	XX	5.268302265	-0.601445678
N2948	XX	5.384777333	0.639062857
N2949	XX	5.357242781	0.278422481
N2950	XX	5.232883279	-1.475567064
N2951	XX	5.285935603	-0.710118081
N2952	XX	5.307753865	-1.382604704
N2953	XX	5.254363205	-2.094803079
N2954	XX	5.350849405	-0.669169945
N2955	XX	5.252643629	-1.794301077
N2956	XX	5.298353276	-1.252388901
N2957	XX	5.37491207	-0.554797091
N2958	XX	5.255010291	-2.356012653
N2959	XX	5.239013991	-1.335367692
N2960	XX	5.129117136	-2.598647692
N2961	XX	5.209108914	-3.185273905
N2962	XX	5.393331593	-0.073819127
N2963	XX	5.101650752	-1.771572318
N2964	XX	5.299509566	-1.677496622
N2965	XX	5.159918332	-2.167794766
N2966	XX	5.219981362	-1.98747564
N2967	XX	5.342936354	-0.435818713
N2968	XX	5.211512427	-1.329620257
N2969	XX	5.24297525	-1.514358595
N2970	XX	5.459390293	0.542035969
N2971	XX	5.298343577	-1.03814013
N2972	XX	5.434861583	0.560988156
N2973	XX	5.317772461	-0.452955927
N2974	XX	5.44268983	1.70795181
N2975	XX	5.164772933	-2.135611827
N2976	XX	5.328534111	-1.233028736
N2977	XX	5.385917115	-0.06661424
N2978	XX	5.355653283	-1.045367868
N2979	XX	5.309179688	-1.000938308
N2980	XX	5.302649769	-1.972041963
N2981	XX	5.276434455	-2.215702913
N2982	XX	5.385590782	-0.887801759
N2983	XX	5.333132904	-1.009618727
N2984	XX	5.39345759	-0.664248744
N2985	XX	5.389334065	-0.761628636
N2986	XX	5.236237396	-1.244002441
N2987	XX	5.197036679	-6.352798745
N2988	XX	5.429070729	-0.068504071
N2989	XX	5.387191758	-0.355184366
N2990	XX	5.277073741	-1.081598004
N2991	XX	5.388901893	-0.661623893
N2992	XX	5.350619125	-0.867387806
N2993	XX	5.300824415	-1.518386633
N2994	XX	5.319570699	-1.553598271
N2995	XX	5.424148143	0.141616144
N2996	XX	5.447290838	0.886082827
N2997	XX	5.461997384	0.146953288
N2998	XX	5.214248374	-1.892547527
N2999	XX	5.274853299	-2.53616962
N3000	XX	5.178961763	-2.608818084
N3001	XX	5.273780118	-1.721324713
N3002	XX	5.395521896	0.203086942
N3003	XX	5.331044589	-2.09829757
N3004	XX	5.313243723	-0.618653267
N3005	XX	5.069352724	-5.974241037
N3006	XX	5.40917229	-0.474515403
N3007	XX	5.160054161	-3.095204991
N3008	XX	5.357802972	-0.883708881
N3009	XX	5.373694248	-1.574432322
N3010	XX	5.339114322	-1.61447047
N3011	XX	4.91203619	-9.645316153
N3012	XX	5.199773566	-2.632646583
N3013	XX	5.347671983	-0.684766344
N3014	XX	5.316999845	-2.885340489
N3015	XX	5.242721391	-2.339443037
N3016	XX	5.413801273	-0.034040125
N3017	XX	5.387550346	-2.164777858
N3018	XX	5.387836355	-0.996985429
N3019	XX	5.349666654	-0.477343628
N3020	XX	5.487736767	1.099056007
N3021	XX	5.288071866	-1.498546186
N3022	XX	5.350861024	-0.541839495
N3023	XX	5.421420926	0.217021315
N3024	XX	5.396818892	0.374588444
N3025	XX	5.22668163	-1.770863337
N3026	XX	5.411397383	-0.15823116
N3027	XX	5.431812053	0.300384708
N3028	XX	5.369511621	-0.689738365
N3029	XX	5.31920045	-1.403472034
N3030	XX	5.271220013	-1.548404287
N3031	XX	5.209520142	-1.728658205
N3032	XX	5.364805554	-0.232613735
N3033	XX	5.368980348	-0.346747733
N3034	XX	5.340853521	-0.949072157
N3035	XX	5.198152456	-3.726536688
N3036	XX	5.334942811	-0.881179034
N3037	XX	5.421649377	0.137089913
N3038	XX	5.217260668	-2.384687846
N3039	XX	5.308082545	-2.067836796
N3040	XX	5.441347667	-0.156110797
N3041	XX	5.332351141	-1.465340452
N3042	XX	5.269949177	-2.74172218
N3043	XX	5.386011385	-0.814427795
N3044	XX	5.302781221	-2.47299775
N3045	XX	5.370771183	-0.603842715
N3046	XX	5.324682751	-1.596729103
N3047	XX	5.459804569	0.612384122
N3048	XX	5.363142452	-0.224227716
N3049	XX	5.245930836	-1.83584873
N3050	XX	5.223513662	-2.562958532
N3051	XX	5.393182443	-0.657411374
N3052	XX	5.381702453	0.911220076
N3053	XX	5.305436505	-1.446293986
N3054	XX	5.247180509	-2.706830997
N3055	XX	5.3388284	-1.409668787
N3056	XX	5.385574655	0.244858972
N3057	XX	5.443626069	-1.023827388
N3058	XX	5.104993913	-7.731455353
N3059	XX	5.424654476	-0.081348855
N3060	XX	5.197932917	-2.056573209
N3061	XX	5.363841445	-1.49167196
N3062	XX	5.423683953	-0.019989754
N3063	XX	5.270660433	-1.595502551
N3064	XX	5.289057635	-1.947943525
N3065	XX	5.179787003	-4.545353439
N3066	XX	5.229262874	-1.608693575
N3067	XX	5.360558057	-0.464757261
N3068	XX	5.368701381	-0.38431895
N3069	XX	5.38982373	-0.22952212
N3070	XX	5.142368049	-3.680799891
N3071	XX	5.267646331	-2.95571715
N3072	XX	5.369603457	-0.338243917
N3073	XX	5.303534671	-1.339462957
N3074	XX	5.153918663	-3.057323564
N3075	XX	5.315395479	-1.479548044
N3076	XX	5.233874602	-3.371967488
N3077	XX	5.309093427	-2.018709798
N3078	XX	5.396480697	-1.119062179
N3079	XX	5.44680198	1.08615721
N3080	XX	5.132959056	-3.166493681
N3081	XX	5.217747798	-4.137945721
N3082	XX	5.39853099	-0.156035767
N3083	XX	5.301973273	-0.17982593
N3084	XX	5.334852629	-1.167426888
N3085	XX	5.273180579	-1.496165922
N3086	XX	5.230400586	-2.866797647
N3087	XX	5.080379398	-3.851708676
N3088	XX	5.448271391	0.621327888
N3089	XX	5.39933802	0.436190855
N3090	XX	5.386892475	-0.440351118
N3091	XX	5.353094279	-0.97554601
N3092	XX	5.345763526	-1.172790712
N3093	XX	5.450246403	0.434584137
N3094	XX	5.416193028	-0.094691397
N3095	XX	5.431426282	-0.040377355
N3096	XX	5.380920912	-0.178712179
N3097	XX	5.38720334	-0.396978839
N3098	XX	5.344742253	-0.956351743
N3099	XX	5.144869936	-3.557463967
N3100	XX	5.322264499	-1.669670344
N3101	XX	5.262152968	-4.494870448
N3102	XX	5.446358957	1.32836635
N3103	XX	5.257405914	-2.207005666
N3104	XX	5.175444079	-2.867360512
N3105	XX	5.396259425	0.465529118
N3106	XX	5.430133691	1.60271708
N3107	XX	5.398984801	-0.02263827
N3108	XX	5.415532431	-0.137551667
N3109	XX	5.416602912	0.328956105
N3110	XX	5.438374645	0.337730518
N3111	XX	5.175839796	-3.872664005
N3112	XX	5.395721796	-0.308995223
N3113	XX	5.154318376	-6.603027358
N3114	XX	5.077955954	-4.324923439
N3115	XX	5.453274024	0.633408091
N3116	XX	5.165855634	-3.605308581
N3117	XX	5.443386783	-0.335155087
N3118	XX	5.396179378	-0.348729876
N3119	XX	5.364479421	-0.464371671
N3120	XX	5.385722957	-0.656732216
N3121	XX	5.361052614	0.632899099
N3122	XX	5.341509025	-1.442542081
N3123	XX	5.333916671	-1.764919394
N3124	XX	5.356735876	0.195624187
N3125	XX	5.261410893	-1.224148625
N3126	XX	5.173736889	-2.207668263
N3127	XX	5.290063548	-1.269004277
N3128	XX	5.405996426	-0.255248335
N3129	XX	5.299765414	-1.054933945
N3130	XX	5.191761541	-2.160198946
N3131	XX	5.313783473	-0.616013126
N3132	XX	5.434280256	0.473867764
N3133	XX	5.334832297	-0.421047793
N3134	XX	5.344558208	-1.223795056
N3135	XX	5.153843428	-3.66087268
N3136	XX	5.166844086	-4.426605505
N3137	XX	5.389845681	-0.069556003
N3138	XX	5.191478347	-1.532204222
N3139	XX	5.283296095	-1.06701999
N3140	XX	5.172760077	-2.938686204
N3141	XX	5.400667318	-0.106760366
N3142	XX	5.275272761	-1.411379923
N3143	XX	5.089666612	-4.570439777
N3144	XX	5.321529211	-2.524995241
N3145	XX	5.144163833	-4.85112223
N3146	XX	5.350425522	-1.426578162
N3147	XX	5.391608164	0.456040968
N3148	XX	5.309478623	-1.56130574
N3149	XX	5.291631449	-3.109615039
N3150	XX	5.355491219	-0.405754813
N3151	XX	5.194313309	-4.044327287
N3152	XX	5.303328156	-1.179511802
N3153	XX	5.267684953	-1.537101158
