Sample	type	UAR	Z
N435	XX	5.2596714	-3.201869993
N436	XX	5.229199709	-3.287099708
N437	XX	5.235578192	-3.881982315
N438	XX	5.277607583	-2.621445916
N439	XX	5.195069016	-4.004507146
N440	XX	5.221412381	-4.167104201
N441	XX	5.260846528	-2.897770098
N442	XX	5.238674752	-2.972624047
N443	XX	5.249636427	-4.956489522
N444	XX	5.232353389	-3.854181508
N445	XX	5.22032113	-3.715282588
N446	XX	5.249082401	-3.332068743
N447	XX	5.234043292	-4.533257324
N448	XX	5.28868292	-1.893535175
N449	XX	5.449679425	1.231105633
N450	XX	5.238531853	-3.550381416
N451	XX	5.26131711	-3.72633256
N452	XX	5.243495636	-3.154282019
N453	XX	5.307225841	-3.49317408
N454	XX	5.293601552	-2.82563362
N455	XX	5.269768305	-3.175589878
N456	XX	5.263898043	-4.19455279
N457	XX	5.222002796	-4.362000482
N458	XX	5.195024609	-5.487915481
N459	XX	5.26032628	-3.097977683
N460	XX	5.108438461	-6.217964365
N461	XX	5.22249792	-4.102412354
N462	XX	5.287820558	-2.665144402
N463	XX	5.267333045	-2.282273014
N464	XX	5.095405127	-7.636961189
N465	XX	5.270102649	-2.434449951
N466	XX	5.224670175	-4.171686539
N467	XX	5.320249025	-1.724016553
N468	XX	5.264651548	-2.632921789
N469	XX	5.240512652	-3.933772194
N470	XX	5.264468972	-2.62872458
N471	XX	5.211326575	-3.846498533
N472	XX	5.233829734	-3.020052432
N473	XX	5.233084439	-4.172369208
N474	XX	5.253816848	-3.918085074
N475	XX	5.238069319	-3.413386688
N476	XX	5.312263643	-1.633524811
N477	XX	5.20731789	-2.785911268
N478	XX	5.241588962	-3.592166991
N479	XX	5.243116072	-3.94066605
N480	XX	5.163584828	-5.415078431
N481	XX	5.204868691	-3.247613241
N482	XX	5.209878687	-4.539847055
N483	XX	5.270104674	-4.363302859
N484	XX	5.242314492	-3.895662424
N485	XX	5.121760932	-4.751891022
N486	XX	5.179083373	-3.406486077
N487	XX	5.246464948	-3.117310836
N488	XX	5.220157927	-4.659373157
N489	XX	5.254285434	-3.495464045
N490	XX	5.207790808	-3.469708046
N491	XX	5.206953102	-3.334394562
N492	XX	5.198725469	-4.112817547
N493	XX	5.232049876	-3.542940043
N494	XX	5.248866672	-1.962960902
N495	XX	5.248166788	-4.171107217
N496	XX	5.275191314	-2.275111313
N497	XX	5.263419767	-3.596325164
N498	XX	5.269669197	-1.753584939
N499	XX	5.250159601	-4.04377553
N500	XX	5.261399077	-3.990674406
N501	XX	5.267310023	-3.260699772
N502	XX	5.267439862	-3.143421144
N503	XX	5.176945682	-4.368785954
N504	XX	5.238324365	-3.826802678
N505	XX	5.248140637	-3.749183138
N506	XX	5.255854798	-3.838908271
N507	XX	5.260330942	-4.004600932
N508	XX	5.254648256	-3.3944639
N509	XX	5.234886798	-4.070313141
N510	XX	5.224685679	-4.327760779
N511	XX	5.252527932	-2.809830448
N512	XX	5.229207132	-5.494649543
N513	XX	5.206915844	-4.362990585
N514	XX	5.262133648	-3.441923441
N515	XX	5.224624724	-4.540568333
N516	XX	5.273862408	-2.841306082
N517	XX	5.332046887	-2.119447868
N518	XX	5.243140171	-4.496540369
N519	XX	5.212459859	-3.911359217
N520	XX	5.246445159	-4.412262945
N521	XX	5.261376837	-2.985853033
N522	XX	5.23845587	-3.512891243
N523	XX	5.233817233	-3.640339383
N524	XX	5.244262945	-3.42655895
N525	XX	5.212412217	-4.240493238
N526	XX	5.241341689	-3.853065248
N527	XX	5.223381121	-4.366675521
N528	XX	5.273808744	-2.555178259
N529	XX	5.262833268	-4.267674938
N530	XX	5.209515937	-4.593349456
N531	XX	5.286701677	-2.83293751
N532	XX	5.265432335	-2.954385062
N533	XX	5.202705594	-4.52709528
N534	XX	5.271076318	-3.901359627
N535	XX	5.242265779	-5.384510463
N536	XX	5.277231008	-2.613238675
N537	XX	5.229458684	-4.415889912
N538	XX	5.188517742	-4.47238231
N539	XX	5.229737126	-6.830848084
N540	XX	5.219602923	-3.766677909
N541	XX	5.282228807	-2.468264684
N542	XX	5.267981054	-3.100278124
N543	XX	5.255235413	-3.118982022
N544	XX	5.260369883	-3.048806271
N545	XX	5.265932838	-2.540123721
N546	XX	5.269319538	-5.092434369
N547	XX	5.326268877	-1.005154096
N548	XX	5.341745635	-0.884454181
N549	XX	5.285731554	-4.412456635
N550	XX	5.230561611	-4.650689061
N551	XX	5.326432938	-2.298470315
N552	XX	5.189947534	-5.404294752
N553	XX	5.253738212	-4.518256137
N554	XX	5.200461848	-3.821959093
N555	XX	5.203859265	-5.16346147
N556	XX	5.239469859	-3.0078322
N557	XX	5.208848975	-4.160468833
N558	XX	5.222683109	-2.936263264
N559	XX	5.219595883	-4.169212224
N560	XX	5.243899487	-2.541574765
N561	XX	5.304436958	-1.953516866
N562	XX	5.240865281	-4.58738762
N563	XX	5.188119232	-4.748941226
N564	XX	5.196679106	-4.643105085
N565	XX	5.228803226	-3.577854932
N566	XX	5.23871469	-4.173480281
N567	XX	5.256386519	-2.774773017
